AwayTeam,HR,HS,AvgCAHH,HY,AvgCAHA,HTAG,AvgC>2.5,AHh,AC,B365H,HomeTeam,AF,B365AHH,HTHG,B365A,IWCD,B365D,IWCA,AR,IWCH,AS,B365>2.5,MaxC<2.5,VCA,VCD,AY,VCH,B365AHA,FTR,P>2.5,FTAG,AvgCD,MaxA,AvgCA,AvgCH,AST,BWCH,BWCD,FTHG,BWCA,Div,B365<2.5,Max<2.5,PC<2.5,PSCD,PSCA,B365CA,BWA,PSCH,BWD,P<2.5,PAHA,WHA,AvgAHA,BWH,WHD,B365CH,PAHH,B365CAHH,WHH,AvgAHH,B365CD,MaxCAHA,B365CAHA,B365C<2.5,PSA,PSD,MaxH,PCAHA,MaxCAHH,PSH,MaxD,HST,PCAHH,Avg>2.5,PC>2.5,B365C>2.5,Max>2.5,MaxCH,MaxAHA,HTR,WHCA,MaxCA,AvgH,Time,AvgD,MaxAHH,MaxCD,AvgA,IWA,AvgC<2.5,IWD,WHCD,IWH,WHCH,VCCA,Referee,VCCD,Date,AHCh,MaxC>2.5,Avg<2.5,VCCH,HC,HF
Norwich,0,15,1.9,0,1.99,0,1.32,-2.25,2,1.14,Liverpool,9,1.96,4,19,8,10,18,0,1.15,12,1.4,3.76,23,9.5,2,1.14,1.94,H,1.4,1,9.52,23,19.18,1.14,5,1.14,9,4,20,E0,3,3.11,3.44,10.43,19.63,21,18.5,1.14,8.25,3.11,1.95,21,1.94,1.14,8.5,1.14,1.97,1.91,1.12,1.94,9.5,2.07,1.99,3.5,18.05,9.59,1.16,1.98,1.99,1.15,10,7,1.94,1.41,1.34,1.3,1.45,1.16,2,H,21,23,1.14,20:00,8.75,1.97,10.5,19.83,18,3.43,8,9.5,1.15,1.11,23,M Oliver,9.5,09/08/2019,-2.25,1.36,2.92,1.14,11,9
Man City,0,5,1.97,2,1.92,1,1.41,1.75,1,12,West Ham,13,2,0,1.22,6.1,6.5,1.25,0,11,14,1.44,3.22,1.25,6.5,2,12,1.9,A,1.49,5,6.46,1.29,1.26,11.14,9,11,6,0,1.26,E0,2.75,2.77,3.03,6.68,1.27,1.25,1.26,11.11,5.75,2.77,1.9,1.24,1.89,11.5,6,12,2.02,1.95,13,1.99,7,1.98,1.95,3,1.26,6.53,13,1.97,2.07,11.68,6.75,3,1.96,1.48,1.43,1.4,1.51,13,1.92,A,1.24,1.29,11.84,12:30,6.28,2.02,7,1.25,1.25,2.91,6.1,6.5,11,11,1.25,M Dean,6.5,10/08/2019,1.75,1.5,2.65,12,1,6
Sheffield United,0,13,1.96,2,1.92,0,1.91,-0.5,4,1.95,Bournemouth,19,2.01,0,3.6,3.55,3.6,3.85,0,1.97,8,1.9,1.98,4,3.6,1,2,1.89,D,1.96,1,3.58,4,3.96,1.98,3,1.95,3.6,1,3.9,E0,1.9,1.99,1.97,3.67,4.06,4.2,3.9,1.98,3.6,1.96,1.88,3.8,1.88,1.95,3.5,1.95,2.04,1.95,2,2,3.7,1.96,1.95,1.9,3.9,3.57,2.06,1.95,2,2.04,3.65,3,1.98,1.9,1.94,1.9,2,2.03,1.91,D,3.9,4.2,2.01,15:00,3.53,2.04,3.7,3.83,3.8,1.92,3.55,3.6,1.97,1.95,4,K Friend,3.6,10/08/2019,-0.5,1.97,1.93,2,3,10
Southampton,0,10,1.86,0,2.02,0,2.17,0,7,2.62,Burnley,12,1.92,0,2.75,3.2,3.2,2.85,0,2.6,11,2.1,1.78,2.8,3.3,0,2.7,1.98,H,2.17,0,3.18,2.85,2.88,2.65,3,2.65,3.1,3,2.85,E0,1.72,1.78,1.76,3.19,2.9,2.9,2.75,2.71,3.2,1.77,2,2.75,1.98,2.65,3.2,2.7,1.93,1.87,2.7,1.91,3.25,2.07,2.03,1.72,2.81,3.31,2.8,2.03,1.9,2.71,3.33,4,1.89,2.12,2.19,2.1,2.2,2.72,2,D,2.8,2.95,2.68,15:00,3.22,1.94,3.26,2.78,2.75,1.71,3.2,3.2,2.65,2.62,2.9,G Scott,3.25,10/08/2019,0,2.25,1.73,2.7,2,6
Everton,0,6,1.96,2,1.93,0,2.17,0.25,2,3,Crystal Palace,14,1.85,0,2.37,3.3,3.25,2.2,1,3.4,10,2.2,1.77,2.45,3.3,1,3.2,2.05,D,2.23,0,3.37,2.52,2.23,3.41,3,3.3,3.3,0,2.25,E0,1.66,1.74,1.74,3.45,2.27,2.25,2.35,3.37,3.2,1.74,2.05,2.35,2.04,3.2,3.3,3.4,1.88,1.82,3.1,1.84,3.5,2.08,2.08,1.66,2.39,3.37,3.21,1.96,2.03,3.21,3.4,2,1.97,2.18,2.22,2.2,2.25,3.55,2.09,D,2.25,2.34,3.13,15:00,3.27,1.88,3.5,2.4,2.4,1.71,3.2,3.3,3.1,3.3,2.25,J Moss,3.3,10/08/2019,0.25,2.28,1.7,3.4,6,16
Brighton,0,11,2.05,0,1.84,1,2.14,-0.5,2,1.9,Watford,11,1.95,0,4,3.2,3.4,4,0,2.05,5,2.1,1.78,4.33,3.5,1,1.95,1.95,A,2.19,3,3.27,4.6,4.04,2.07,3,2.1,3.1,0,4,E0,1.72,1.76,1.78,3.38,4.12,4.2,4.33,2.05,3.4,1.76,1.95,4.2,1.94,1.9,3.4,2.1,1.98,2.04,1.95,1.94,3.25,1.91,1.86,1.72,4.37,3.44,2,1.88,2.12,1.98,3.5,3,2.05,2.16,2.16,2.1,2.24,2.15,1.98,A,4,4.2,1.94,15:00,3.41,1.98,3.38,4.26,4.25,1.73,3.4,3.25,1.93,2.05,3.9,C Pawson,3.3,10/08/2019,-0.5,2.2,1.71,2.15,5,15
Aston Villa,0,31,2.08,1,1.8,1,1.58,-1.5,0,1.3,Tottenham,9,1.97,0,10,5.5,5.25,9.6,0,1.3,7,1.66,2.55,12,5.5,0,1.3,1.93,H,1.64,1,5.29,12,8.82,1.36,4,1.35,5,3,9,E0,2.2,2.4,2.52,5.35,8.42,9,10,1.39,5.5,2.4,1.93,10,1.94,1.3,5.5,1.36,1.99,2.1,1.29,1.93,5.5,1.87,1.7,2.37,10.96,5.84,1.33,1.77,2.21,1.3,5.95,7,2.18,1.65,1.58,1.57,1.7,1.4,2,A,8,10,1.3,17:30,5.53,2,5.7,10.51,9.6,2.4,5.5,5.25,1.3,1.35,9,C Kavanagh,5.2,10/08/2019,-1.5,1.65,2.26,1.4,14,13
Wolves,0,15,2.06,0,1.84,0,2.33,-0.25,3,2.2,Leicester,13,1.9,0,3.4,3.15,3.2,3.2,0,2.35,8,2.2,1.71,3.6,3.3,2,2.25,2,D,2.23,0,3.14,3.66,3.29,2.41,2,2.35,3.2,0,3.3,E0,1.66,1.74,1.63,3.12,3.3,3.3,3.3,2.5,3.3,1.74,2.04,3.5,1.98,2.25,3.25,2.4,1.9,2.07,2.2,1.91,3.25,1.98,1.83,1.61,3.66,3.34,2.29,1.83,2.12,2.21,3.38,1,2.11,2.17,2.45,2.3,2.25,2.55,2.04,D,3.3,3.58,2.22,14:00,3.28,1.95,3.25,3.48,3.45,1.62,3.25,3.1,2.2,2.35,3.3,A Marriner,3.2,11/08/2019,-0.25,2.45,1.7,2.45,12,3
Arsenal,0,9,2,1,1.89,0,1.79,0.75,3,4.5,Newcastle,7,1.85,0,1.72,3.5,3.75,2.2,0,3.25,8,1.8,2.17,1.8,3.9,3,4.6,2.05,A,1.83,1,3.51,1.83,2.2,3.36,2,3.3,3.5,0,2.2,E0,2,2.14,2.09,3.56,2.25,2.2,1.78,3.36,3.75,2.1,2.07,1.78,2.03,4.5,3.75,3.4,1.86,1.99,4.5,1.85,3.6,1.97,1.91,2,1.81,3.93,4.7,1.95,2.17,4.58,4,2,1.99,1.77,1.83,1.8,1.83,3.76,2.08,D,2.15,2.25,4.49,14:00,3.82,1.88,3.65,1.79,1.77,2.05,3.85,3.4,4.4,3.5,2.25,M Atkinson,3.5,11/08/2019,0.25,1.85,2.07,3.4,5,12
Chelsea,0,11,2.04,3,1.85,0,1.99,-0.25,5,2.1,Man United,13,1.9,1,3.5,3.3,3.3,3.85,0,2.05,18,2,2.04,3.5,3.3,4,2.25,2,H,2.05,0,3.36,3.63,3.99,2.05,7,2.1,3.3,4,3.8,E0,1.8,1.87,1.88,3.44,4.14,4,3.5,2.04,3.3,1.87,2.04,3.5,2,2.15,3.3,2.05,1.9,2.02,2.15,1.89,3.5,1.91,1.88,1.8,3.63,3.37,2.28,1.9,2.1,2.21,3.43,5,2.04,2.01,2.05,2,2.1,2.2,2.04,H,4,4.4,2.19,16:30,3.32,1.92,3.5,3.49,3.4,1.84,3.35,3.4,2.15,2,4.1,A Taylor,3.4,11/08/2019,-0.5,2.07,1.83,2.05,3,15
Burnley,0,16,2.05,2,1.84,1,1.61,-1.5,7,1.3,Arsenal,11,2.02,1,10,5.6,5.5,9.5,0,1.3,18,1.57,2.47,10.5,5.5,1,1.33,1.91,H,1.61,1,5.27,11,8.77,1.36,5,1.33,5.5,2,9.25,E0,2.37,2.47,2.42,5.35,8.78,9,10,1.38,5.5,2.47,1.88,10,1.9,1.3,5.25,1.33,2.05,2.11,1.32,1.98,5.25,1.94,1.82,2.3,9.35,5.68,1.36,1.82,2.16,1.34,5.75,9,2.11,1.6,1.63,1.61,1.65,1.4,1.95,D,9.5,10,1.33,12:30,5.49,2.06,5.6,9.48,9.5,2.35,5.6,5.25,1.3,1.33,9.5,M Dean,5.4,17/08/2019,-1.5,1.65,2.34,1.36,10,13
Bournemouth,0,22,1.97,0,1.92,2,1.66,-0.25,5,2.3,Aston Villa,13,2.02,0,3.1,3.6,3.4,3.05,0,2.25,12,1.8,2.39,3.2,3.5,2,2.38,1.91,A,1.81,2,3.62,3.2,3.12,2.26,4,2.25,3.6,1,3.1,E0,2,2.11,2.39,3.69,3.11,3.1,3.1,2.3,3.5,2.11,1.91,3.1,1.88,2.25,3.5,2.2,2.02,2.01,2.25,2.01,3.6,1.96,1.92,2.3,3.17,3.56,2.42,1.92,2.01,2.32,3.64,7,2.01,1.81,1.64,1.61,1.86,2.33,1.92,A,3.1,3.22,2.33,15:00,3.49,2.03,3.75,3.08,3.05,2.26,3.45,3.5,2.3,2.25,3.13,M Atkinson,3.7,17/08/2019,-0.25,1.75,2.03,2.3,10,10
West Ham,0,16,1.91,0,1.98,0,1.92,-0.25,6,2.55,Brighton,10,2.07,0,2.87,3.4,3.25,3.3,0,2.2,8,1.9,2.12,3,3.4,2,2.55,1.72,D,1.99,1,3.44,3,3.34,2.23,3,2.25,3.3,1,3.4,E0,1.9,1.94,1.97,3.6,3.34,3.3,2.9,2.22,3.3,1.93,1.75,2.88,1.75,2.5,3.3,2.2,2.21,1.91,2.5,2.16,3.4,2.15,2.02,1.9,2.92,3.38,2.65,2,1.96,2.58,3.42,4,1.93,1.95,1.95,1.9,2,2.3,1.8,D,3.5,3.74,2.52,15:00,3.33,2.21,3.6,2.9,2.85,1.91,3.3,3.5,2.5,2.1,3.5,A Taylor,3.4,17/08/2019,-0.25,2,1.87,2.25,8,11
Watford,0,12,2.07,2,1.83,0,1.78,-0.75,7,1.72,Everton,11,1.97,1,4.75,3.65,3.8,4.35,0,1.83,8,1.72,2.14,5.2,4,3,1.73,1.96,H,1.86,0,3.69,5.2,4.56,1.83,2,1.83,3.75,1,4.5,E0,2.1,2.2,2.12,3.66,4.64,4.5,5,1.85,4,2.06,1.93,4.8,1.95,1.67,3.8,1.8,2,2.11,1.73,1.94,3.6,1.87,1.82,2.1,4.87,3.95,1.8,1.81,2.16,1.76,4.05,2,2.12,1.79,1.81,1.72,1.86,1.89,1.97,H,4.5,4.84,1.73,15:00,3.9,2,3.88,4.86,4.65,2.07,3.9,3.7,1.7,1.78,4.6,L Mason,3.75,17/08/2019,-0.75,1.82,2.05,1.85,4,11
Newcastle,0,15,1.84,1,2.05,0,1.93,-0.25,5,2.25,Norwich,11,1.93,1,3.3,3.35,3.3,3.5,0,2.15,10,1.9,2.1,3.5,3.4,3,2.25,2,H,1.98,1,3.44,3.5,3.55,2.15,3,2.15,3.4,3,3.5,E0,1.9,1.93,1.96,3.57,3.58,3.5,3.3,2.14,3.3,1.93,1.99,3.4,1.97,2.25,3.4,2.1,1.94,1.84,2.15,1.92,3.4,2.15,2.09,1.9,3.44,3.42,2.3,2.08,1.88,2.25,3.5,8,1.85,1.95,1.96,1.9,2.05,2.25,2.01,H,3.6,3.86,2.23,15:00,3.38,1.95,3.6,3.38,3.35,1.9,3.35,3.4,2.2,2.1,3.7,S Attwell,3.4,17/08/2019,-0.25,2,1.88,2.2,7,9
Liverpool,0,14,2.08,2,1.81,1,1.63,1.25,9,6.5,Southampton,6,1.86,0,1.44,4.5,4.75,1.45,0,7,15,1.66,2.44,1.45,4.8,1,7.5,2.07,A,1.65,2,4.56,1.52,1.5,6.48,6,6.5,4.5,1,1.5,E0,2.2,2.38,2.36,4.57,1.53,1.45,1.48,6.43,4.75,2.37,2.08,1.44,2.04,6.25,4.6,6.5,1.85,2.07,7,1.84,4.5,1.9,1.86,2.3,1.48,4.72,7.5,1.88,2.21,7.04,4.9,3,2.05,1.64,1.66,1.61,1.7,7.4,2.09,A,1.47,1.55,6.77,15:00,4.67,1.87,4.85,1.47,1.4,2.32,4.8,4.4,7.5,7,1.5,A Marriner,4.6,17/08/2019,1,1.68,2.28,7,5,10
